 0.0000,   0.00420150
 0.2000,   0.00490907
 0.4000,   0.00581509
 0.6000,   0.00700246
 0.8000,   0.00860292
 1.0000,   0.01083631
 1.2000,   0.01409271
 1.4000,   0.01912029
 1.6000,   0.02750897
 1.8000,   0.04315079
 2.0000,   0.07777588
 2.2000,   0.18090195
 2.4000,   0.73451976
 2.6000,   1.80465942
 2.8000,   0.32451409
 3.0000,   0.13174713
 3.2000,   0.11103503
 3.4000,   0.26987722
 3.6000,   0.60797664
 3.8000,   0.11822648
 4.0000,   0.04982370
 4.2000,   0.03526856
 4.4000,   0.05670316
 4.6000,   0.11033476
 4.8000,   0.02634267
 5.0000,   0.01334805
 5.2000,   0.00923408
 5.4000,   0.00814977
 5.6000,   0.00891758
 5.8000,   0.00506171
 6.0000,   0.00398290
 6.2000,   0.00336159
 6.4000,   0.00293883
 6.6000,   0.00264506
 6.8000,   0.00227437
 7.0000,   0.00202558
 7.2000,   0.00182296
 7.4000,   0.00165190
 7.6000,   0.00150532
 7.8000,   0.00137734
 8.0000,   0.00126588
 8.2000,   0.00116782
 8.4000,   0.00108101
 8.6000,   0.00100373
 8.8000,   0.00093459
 9.0000,   0.00087248
 9.2000,   0.00081645
 9.4000,   0.00076573
 9.6000,   0.00071965
 9.8000,   0.00067765
 10.0000,   0.00063926
